Entity,Label
Lungs,ANAT-DP
clear,OBS-DP
Normal,OBS-DP
cardiomediastinal,ANAT-DP
hilar,ANAT-DP
silhouettes,ANAT-DP
pleural,ANAT-DP
surfaces,ANAT-DP
Endotracheal,OBS-DP
tube,OBS-DP
tip,OBS-DP
approximately a 4.6 cm,ANAT-DP
carina,ANAT-DP
Enteric,OBS-DP
tube,OBS-DP
tip,OBS-DP
distal,ANAT-DP
esophagus,ANAT-DP
advanced by at least 11 cm,OBS-DP
Heart,ANAT-DP
size,ANAT-DP
normal,OBS-DP
mediastinal,ANAT-DP
hilar,ANAT-DP
contours,ANAT-DP
grossly,OBS-DP
unremarkable,OBS-DP
Pulmonary,ANAT-DP
vasculature,ANAT-DP
engorged,OBS-DA
minimal,OBS-DP
atelectasis,OBS-DP
lung,ANAT-DP
bases,ANAT-DP
lungs,ANAT-DP
clear,OBS-DP
large,OBS-DA
pleural,ANAT-DP
effusion,OBS-DA
pneumothorax,OBS-DA
extreme,ANAT-DP
right,ANAT-DP
apex,ANAT-DP
slightly,OBS-DP
obscured,OBS-DP
patient 's chin,OBS-DP
displaced,OBS-DA
fractures,OBS-DA
acute,OBS-DA
osseous,ANAT-DP
abnormality,OBS-DA
Gaseous,OBS-DP
distension,OBS-DP
stomach,ANAT-DP
Standard,OBS-DP
positioning,OBS-DP
endotracheal,OBS-DP
tube,OBS-DP
Enteric,OBS-DP
tube,OBS-DP
tip,OBS-DP
distal,ANAT-DP
esophagus,ANAT-DP
advanced by at least 11 cm,OBS-DP
Gaseous,OBS-DP
distention,OBS-DP
stomach,ANAT-DP
focal,OBS-DA
consolidation,OBS-DA
nasogastric,OBS-DP
tube,OBS-DP
tip,OBS-DP
mid,ANAT-DP
portion,ANAT-DP
body,ANAT-DP
stomach,ANAT-DP
The side - port,OBS-DP
distal,ANAT-DP
esophagogastric,ANAT-DP
junction,ANAT-DP
Otherwise,OBS-DP
little,OBS-DP
change,OBS-DP
lung,ANAT-DP
volumes,ANAT-DP
stable,OBS-DP
mediastinal,ANAT-DP
hilar,ANAT-DP
contours,ANAT-DP
normal,OBS-DP
pleural,ANAT-DP
surfaces,ANAT-DP
normal,OBS-DP
ET,OBS-DP
tube,OBS-DP
4.3 cm,ANAT-DP
carina,ANAT-DP
NG,OBS-DP
tube,OBS-DP
malpositioned,OBS-DP
near,ANAT-DP
distal,ANAT-DP
esophagus,ANAT-DP
esophagogastric,ANAT-DP
junction,ANAT-DP
ET,OBS-DP
tube,OBS-DP
appropriate,OBS-DP
position,OBS-DP
enteric,OBS-DP
tube,OBS-DP
malpositioned,OBS-DP
acute,OBS-DA
cardiopulmonary,ANAT-DP
disease,OBS-DA
pneumonia,OBS-DA
vascular,ANAT-DP
congestion,OBS-DA
pleural,ANAT-DP
effusion,OBS-DA
lung,ANAT-DP
volumes,ANAT-DP
stable,OBS-DP
cardiomediastinal,ANAT-DP
hilar,ANAT-DP
contours,ANAT-DP
normal,OBS-DP
pleural,ANAT-DP
surfaces,ANAT-DP
normal,OBS-DP
ET,OBS-DP
tube,OBS-DP
approximately 1.8 cm,ANAT-DP
carina,ANAT-DP
NG,OBS-DP
tube,OBS-DP
near,ANAT-DP
esophagogastric,ANAT-DP
junction,ANAT-DP
barely,ANAT-DP
proximal,ANAT-DP
stomach,ANAT-DP
side ports,OBS-DP
approximately 12 cm,ANAT-DP
mid,ANAT-DP
stomach,ANAT-DP
ET,OBS-DP
tube,OBS-DP
approximately 2 cm,ANAT-DP
carina,ANAT-DP
NG,OBS-DP
tube,OBS-DP
malpositioned,OBS-DP
Lung,ANAT-DP
volumes,ANAT-DP
low,OBS-DP
pneumonia,OBS-DA
overt,OBS-DA
CHF,OBS-DA
effusion,OBS-DA
pneumothorax,OBS-DA
cardiomediastinal,ANAT-DP
silhouette,ANAT-DP
normal,OBS-DP
osseous,ANAT-DP
structures,ANAT-DP
intact,OBS-DP
Limited,OBS-DP
negative,OBS-DP
Low,OBS-DP
lung,ANAT-DP
volumes,ANAT-DP
This,OBS-DP
size,ANAT-DP
cardiac,ANAT-DP
silhouette,ANAT-DP
mildly,OBS-DP
enlarged,OBS-DP
unchanged,OBS-DP
mediastinal,ANAT-DP
hilar,ANAT-DP
contours,ANAT-DP
stable,OBS-DP
crowding,OBS-DP
bronchovascular,ANAT-DP
structures,ANAT-DP
pulmonary,ANAT-DP
edema,OBS-DA
Minimal,OBS-DP
patchy,OBS-DP
bibasilar,ANAT-DP
opacities,OBS-DP
atelectasis,OBS-U
infection,OBS-U
pleural,ANAT-DP
effusion,OBS-DA
pneumothorax,OBS-DA
acute,OBS-DA
osseous,ANAT-DP
abnormalities,OBS-DA
Low,OBS-DP
lung,ANAT-DP
volumes,ANAT-DP
Patchy,OBS-DP
bibasilar,ANAT-DP
opacities,OBS-DP
atelectasis,OBS-U
infection,OBS-U
Borderline,OBS-DP
size,ANAT-DP
cardiac,ANAT-DP
silhouette,ANAT-DP
pneumonia,OBS-DA
pulmonary,ANAT-DP
edema,OBS-DA
pleural,ANAT-DP
effusions,OBS-DA
pneumothorax,OBS-DA
left,ANAT-DP
basal,ANAT-DP
parenchymal,ANAT-DP
opacity,OBS-DA
remnant,OBS-DA
opacities,OBS-DA
complications,OBS-DA
frontal,OBS-DP
lateral,OBS-DP
radiograph,OBS-DP
unremarkable,OBS-DP
pleural,ANAT-DP
effusions,OBS-DA
pulmonary,ANAT-DP
edema,OBS-DA
Moderate,OBS-DP
scoliosis,OBS-DP
asymmetry,OBS-DP
ribcage,ANAT-DP
Mildly,OBS-DP
underinflated,OBS-DP
lungs,ANAT-DP
pneumonia,OBS-DA
lungs,ANAT-DP
mildly,OBS-DP
underinflated,OBS-DP
largely,OBS-DP
clear,OBS-DP
Heart,ANAT-DP
size,ANAT-DP
mediastinal,ANAT-DP
contours,ANAT-DP
normal,OBS-DP
pleural,ANAT-DP
effusion,OBS-DA
pneumothorax,OBS-DA
Osseous,ANAT-DP
structures,ANAT-DP
intact,OBS-DP
Mildly,OBS-DP
underinflated,OBS-DP
lungs,ANAT-DP
pneumonia,OBS-DA
The lateral view is limited,OBS-DP
patient 's arms,OBS-DP
increased,OBS-DP
opacity,OBS-DP
left,ANAT-DP
mid,ANAT-DP
lower,ANAT-DP
