name,ui,normalized_name,semanticTypes,definition,term,source
chf,,,,,,
contusion,C0009938,,Injury or Poisoning,mechanical injury (usually caused by a blow) resulting in hemorrhage beneath unbroken skin; a bruise.,Contusions,CSP
marker,C5445211,,Qualitative Concept,"A visual indicator of position, place or route.",Marker,NCI
pectoralis,,,,,,
muscles,,,,,,
tissues,,,,,,
7.4 cm,,,,,,
clavicular,,,,,,
end,C0444930,,Spatial Concept,,End,
presumed,C4684849,,Qualitative Concept,Likely to be true; accepted as true.,Presumed,NCI
manubrium,,,,,,
bleed,,,,,,
5 cm,,,,,,
healing,,,,,,
anteriorly,,,,,,
Lucency,,,,,,
Healing,,,,,,
manubrial,,,,,,
eventration,C0015207,,Anatomical Abnormality,A localized protrusion of a structure into an adjacent structure or cavity.,Eventration,NCI
Dense,C0439794,,Qualitative Concept,Having high relative density or specific gravity; permitting little if any light to pass through.,Dense,NCI
pectoral,C1521735,,Qualitative Concept,Of or pertaining to the chest.,Pectoral,NCI
not well appreciated,,,,,,
discrepancy,,,,,,
6.6 cm above,,,,,,
greater than,C0439093,,Quantitative Concept,A statement about the relative size or order of two objects specifying that an object of interest exceeds another object in quantity or measure or value or status.,Greater Than,NCI
Widespread,C0205391,,Spatial Concept,Spread throughout a structure or area.,Widespread,NCI
improve,C0184511,,Finding,Condition changed and/or recovered,Improved,CCC
deteriorated,,,,,,
interim,C2827738,,Temporal Concept,"The time between one event, process, or period and another.",Interim,NCI
entire,C0439751,,Quantitative Concept,Including all components without exception; constituting the full amount or extent or duration; complete.,Entire,NCI
Pneumothorax,C0032326,,Disease or Syndrome,Accumulation of air in the pleural cavity leading to a partially or completely collapsed lung. [https://orcid.org/0000-0002-0736-9199],Pneumothorax,HPO
2.5 cm above,,,,,,
inferior vena cava,,,,,,
crosses the lower margin of the image,,,,,,
2.3 cm above,,,,,,
pneumothorax .,,,,,,
intraperitoneal,C0442120,,Spatial Concept,Relating to the peritoneal cavity as the intended site of administration.,Intraperitoneal,NCI
recent,C0332185,,Temporal Concept,Near to or not long before the present.,Recent,NCI
.,,,,,,
