name,ui,normalized_name,semanticTypes,definition
carina,C0225594,Structure of carina,"Body Part, Organ, or Organ Component",A ridge or ridge-like structure. In humans it usually refers to the trachea. The carina of trachea is part of the lowest tracheal cartilage which is placed between the orifices of the two bronchi.
distal,C0205108,Distal (qualifier value),Spatial Concept,Localized away from the central point of the body. [https://orcid.org/0000-0002-0736-9199]
contours,C0876954,Contour form,Spatial Concept,The outline of a part; the surface configuration.
unremarkable,C0205307,Normal,Qualitative Concept,"In pathology, a term that is used to describe a tissue specimen that has a normal appearance."
Pulmonary,C0024109,Lung,"Body Part, Organ, or Organ Component","Lobular organ the parenchyma of which consists of air-filled alveoli which communicate with the tracheobronchial tree. Examples: There are only two instances, right lung and left lung."
apex,C0277909,Apex beat,Biologic Function,"None, None)"
slightly,C0750482,Slightly (qualifier value),Qualitative Concept,"None, None)"
displaced,C0012727,Spatial Displacement,Spatial Concept,"None, None)"
osseous,C0262950,Skeletal bone,"Body Part, Organ, or Organ Component","Organ with cavitated organ parts, each instance of which has as its direct parts some maximal complement of compact (cortical) and cancellous bone, and some maximal complement of bone marrow cavities; together with instances of other bones, cartilages and joints, it constitutes some skeletal system. Examples: femur, sternum, maxilla, vertebra, talus."
Standard,C1442989,Standard (qualifier),Qualitative Concept,Regularly and widely used.
mid,C0444598,Middle,Spatial Concept,An intermediate part or section; an area that is approximately central within some larger region.
portion,C3658326,Portion Size,Quantitative Concept,"Množství určitého pokrmu, které si jedinec zvolí ke konzumaci v rámci jednoho jídla. Liší se od doporučené velikosti porce, což je referenční množství pokrmu definované směrodatným úředním zdrojem."
body,C1268086,Body structure,Anatomical Structure,"None, None)"
change,C4319952,Change -- procedure,Therapeutic or Preventive Procedure,"None, None)"
stable,C0205360,Stable status,Qualitative Concept,Subject to little fluctuation; showing little if any change.
malpositioned,C0333042,Malposition,Spatial Concept,A physical quality in which the entity or structure is not appropriately or correctly placed.
position,C0733755,Positioning (attribute),Spatial Concept,<p>An observation denoting the physical location of a person or thing based on a reference coordinate system.</p>
enteric,C4316902,Enteric Bacteria,Bacterium,see RTs for specific organisms.
CHF,C0018802,Congestive heart failure,Disease or Syndrome,"Vznik otoků, transsudátů vede k obrazu tzv. městnavého (kongestivního) selhání srdce. (cit. Velký lékařský slovník online, 2017 http://lekarske.slovniky.cz)"
Limited,C0439801,Limited (extensiveness),Functional Concept,"Restricted or in amount, size, or extent."
cardiac,C0018787,Heart,"Body Part, Organ, or Organ Component","Det hule, muskulære organet som opprettholder blodsirkulasjonen."
mildly,C2945599,Mild (qualifier value),Qualitative Concept,"Having a relatively minor degree of severity. For quantitative traits, a deviation of between two and three standard deviations from the appropriate population mean. [https://orcid.org/0000-0002-0736-9199]"
