name,ui,normalized_name,semanticTypes,definition
Lungs,C0024109,Lungs,"Body Part, Organ, or Organ Component","Lobular organ the parenchyma of which consists of air-filled alveoli which communicate with the tracheobronchial tree. Examples: There are only two instances, right lung and left lung."
clear,C2963144,clear,Qualitative Concept,No results
Normal,C0205307,Normal,Qualitative Concept,"In pathology, a term that is used to describe a tissue specimen that has a normal appearance."
cardiomediastinal,,,,
hilar,C0205150,hilar,Spatial Concept,Refers to the area associated with the hilum.
silhouettes,,,,
pleural,C1522720,pleural,Spatial Concept,Of or pertaining to the pleura.
surfaces,,,,
Endotracheal,C0599554,Endotracheal,Spatial Concept,Within the trachea.
tube,C1561954,tube,Spatial Concept,"A hollow cylinder, especially one for holding or conveying liquids; anything shaped like such a hollow cylinder, e.g. an organic structure having the shape or function of a tube such as channel within a plant or animal body (e.g. fallopian tube)."
tip,C3282898,tip,Spatial Concept,The pointed end of a linear structure.
approximately a 4.6 cm,,,,
carina,C0225594,Structure of carina,"Body Part, Organ, or Organ Component",A ridge or ridge-like structure. In humans it usually refers to the trachea. The carina of trachea is part of the lowest tracheal cartilage which is placed between the orifices of the two bronchi.
Enteric,C1304890,Enteric,Spatial Concept,An intended site for a dose form that is for administration to the gastrointestinal tract.
distal,C0205108,Distal (qualifier value),Spatial Concept,Localized away from the central point of the body. [https://orcid.org/0000-0002-0736-9199]
esophagus,C0014876,esophagus,"Body Part, Organ, or Organ Component",digestive tube connecting the throat to the stomach
advanced by at least 11 cm,,,,
Heart,C0018787,Heart,"Body Part, Organ, or Organ Component","Det hule, muskulære organet som opprettholder blodsirkulasjonen."
size,C0456389,size,Spatial Concept,Relative physical dimensions of objects or stimuli.
normal,C0205307,normal,Qualitative Concept,"In pathology, a term that is used to describe a tissue specimen that has a normal appearance."
mediastinal,C1522718,mediastinal,Spatial Concept,Related to the mediastinum.
contours,C0876954,Contour form,Spatial Concept,The outline of a part; the surface configuration.
grossly,,,,
unremarkable,C0205307,Normal,Qualitative Concept,"In pathology, a term that is used to describe a tissue specimen that has a normal appearance."
Pulmonary,C0024109,Lung,"Body Part, Organ, or Organ Component","Lobular organ the parenchyma of which consists of air-filled alveoli which communicate with the tracheobronchial tree. Examples: There are only two instances, right lung and left lung."
vasculature,C3714653,vasculature,Anatomical Structure,"Organ region cluster which consists of regions of arterial, venous and lymphatic trees and the capillary beds that connect them. Examples: Vasculature of head, vasculature of brain."
engorged,C0700140,engorged,Functional Concept,No results
minimal,C0547040,minimal,Qualitative Concept,"<b>Description:</b>Provides more than identified, but not as much as universal. There are not expected to be many of these."
atelectasis,C0004144,atelectasis,Pathologic Function,"Ausência de ar no pulmão inteiro ou em parte dele, como no pulmão incompletamente inflado do recém-nascido ou num pulmão adulto colapsado. Atelectasia pulmonar pode ser causada obstrução das vias respiratórias, compressão pulmonar, contração fibrótica ou outros fatores."
lung,C0024109,lung,"Body Part, Organ, or Organ Component","Lobular organ the parenchyma of which consists of air-filled alveoli which communicate with the tracheobronchial tree. Examples: There are only two instances, right lung and left lung."
bases,C0178499,bases,Chemical Viewed Functionally,opposite of acid
lungs,C0024109,lungs,"Body Part, Organ, or Organ Component","Lobular organ the parenchyma of which consists of air-filled alveoli which communicate with the tracheobronchial tree. Examples: There are only two instances, right lung and left lung."
large,C0549177,large,Quantitative Concept,"Of considerable or relatively great size, extent, or capacity."
effusion,C0013687,effusion,Pathologic Function,a collection of fluid in a body cavity
pneumothorax,C0032326,pneumothorax,Disease or Syndrome,Accumulation of air in the pleural cavity leading to a partially or completely collapsed lung. [https://orcid.org/0000-0002-0736-9199]
extreme,C0205403,extreme,Qualitative Concept,The highest degree of severity.
right,C0205090,right,Spatial Concept,Being or located on or directed toward the side of the body to the east when facing north.
apex,C0277909,Apex beat,Biologic Function,None
slightly,C0750482,Slightly (qualifier value),Qualitative Concept,None
obscured,C4727091,obscured,Activity,Make less clear or visible.
patient 's chin,,,,
displaced,C0012727,Spatial Displacement,Spatial Concept,None
fractures,C0016658,fractures,Injury or Poisoning,A partial or complete breakage of the continuity of a bone. []
acute,C0205178,acute,Temporal Concept,Having a severe and rapid onset of symptoms with short duration.
