name,ui,normalized_name,semanticTypes,definition
cardiomediastinal,unnormalizable,unnormalizable,,
silhouettes,unnormalizable,unnormalizable,,
surfaces,unnormalizable,unnormalizable,,
approximately a 4.6 cm,unnormalizable,unnormalizable,,
carina,C0225594,Structure of carina,,
distal,C0205108,Distal (qualifier value),,
advanced by at least 11 cm,unnormalizable,unnormalizable,,
contours,C0876954,Contour form,,
grossly,unnormalizable,unnormalizable,,
unremarkable,C0205307,Normal,,
Pulmonary,C0024109,Lung,,
apex,C0277909,Apex beat,,
slightly,C0750482,Slightly (qualifier value),,
patient 's chin,unnormalizable,unnormalizable,,
displaced,C0012727,Spatial Displacement,,
osseous,C0262950,Skeletal bone,,
Standard,C1442989,Standard (qualifier),,
positioning,unnormalizable,unnormalizable,,
mid,C0444598,Middle,,
portion,C3658326,Portion Size,,
body,C1268086,Body structure,,
The side - port,unnormalizable,unnormalizable,,
junction,unnormalizable,unnormalizable,,
Otherwise,unnormalizable,unnormalizable,,
change,C4319952,Change -- procedure,,
stable,C0205360,Stable status,,
ET,unnormalizable,unnormalizable,,
4.3 cm,unnormalizable,unnormalizable,,
NG,unnormalizable,unnormalizable,,
malpositioned,C0333042,Malposition,,
position,C0733755,Positioning (attribute),,
enteric,C4316902,Enteric Bacteria,,
approximately 1.8 cm,unnormalizable,unnormalizable,,
barely,unnormalizable,unnormalizable,,
side ports,unnormalizable,unnormalizable,,
approximately 12 cm,unnormalizable,unnormalizable,,
approximately 2 cm,unnormalizable,unnormalizable,,
overt,unnormalizable,unnormalizable,,
CHF,C0018802,Congestive heart failure,,
silhouette,unnormalizable,unnormalizable,,
Limited,C0439801,Limited (extensiveness),,
This,unnormalizable,unnormalizable,,
cardiac,C0018787,Heart,,
mildly,C2945599,Mild (qualifier value),,
unchanged,C1548447,UNCHANGED * - Problem/goal action code,,
bronchovascular,C2326513,Bronchovascular bundle,,
pulmonary,C0024109,Lung,,
patchy,C0205413,Patchy (qualifier value),,
bibasilar,C2315107,Bibasilar Finding,,
opacities,C1265876,Abnormally opaque structure (morphologic abnormality),,
abnormalities,C0000768,Congenital Abnormality,,
Patchy,C0205413,Patchy (qualifier value),,
parenchymal,C4277702,Parenchymal Tissue,,
opacity,C1265876,Abnormally opaque structure (morphologic abnormality),,
frontal,unnormalizable,unnormalizable,,
radiograph,C1306645,Plain x-ray,,
scoliosis,C0036439,"Scoliosis, unspecified",,
asymmetry,C0332514,Asymmetry (qualifier value),,
ribcage,C0222762,Rib Cage,,
Mildly,C2945599,Mild (qualifier value),,
underinflated,C1320706,Airway device cuff underinflated,,
largely,unnormalizable,unnormalizable,,
Osseous,C0262950,Skeletal bone,,
The lateral view is limited,unnormalizable,unnormalizable,,
patient 's arms,unnormalizable,unnormalizable,,
lower,unnormalizable,unnormalizable,,
They,C4740697,they/them/their/theirs/themselves,,
conspicuous,unnormalizable,unnormalizable,,
recent exam from ___,unnormalizable,unnormalizable,,
