name,ui,term,semanticTypes,definition
chf,C0018802,Congestive heart failure,Disease or Syndrome,"Vznik otoků, transsudátů vede k obrazu tzv. městnavého (kongestivního) selhání srdce. (cit. Velký lékařský slovník online, 2017 http://lekarske.slovniky.cz)"
contusion,C0009938,Contusions,Injury or Poisoning,mechanical injury (usually caused by a blow) resulting in hemorrhage beneath unbroken skin; a bruise.
marker,C5445211,Marker,Qualitative Concept,"A visual indicator of position, place or route."
pectoralis,C0030747,Pectoralis Muscles,"Body Part, Organ, or Organ Component",Velký a malý prsní sval tvoří přední horní část hrudníku před podpažní jamkou (AXILLA).
muscles,C4083049,Muscle (organ),"Body Part, Organ, or Organ Component","Nonparenchymatous organ that primarily consists of skeletal muscle tissue aggregated into macroscopic fasciculi by connective tissue; together with other muscles, it constitutes the muscular system. Examples: biceps, diaphragm, masseter, right third external intercostal muscle, external oblique, levator ani, serratus anterior."
tissues,C0040300,Body tissue,Tissue,"Organ part, which is uncountable and consists of similarly specialized cells and intercellular matrix, aggregated according to genetically determined spatial relationships; together with other tissues, it constitutes an organ component. Examples: epithelium, muscle (tissue), connective tissue, neural tissue, lymphoid tissue."
7.4 cm,,,,
clavicular,C0230077,Clavicular region,Body Location or Region,
end,C0444930,End,Spatial Concept,
presumed,C4684849,Presumed,Qualitative Concept,Likely to be true; accepted as true.
manubrium,C0024764,Bone structure of manubrium,"Body Part, Organ, or Organ Component",El segmento superior o más anterior del ESTERNÓN que se articula con la CLAVÍCULA y dos primeros pares de COSTILLAS.
bleed,C0019080,Hemorrhage,Pathologic Function,Bleeding or escape of blood from a vessel.
5 cm,,,,
healing,,,,
anteriorly,,,,
Lucency,,,,
Healing,,,,
manubrial,C0502720,Manubrial cartilage of manubriosternal joint,"Body Part, Organ, or Organ Component",
eventration,C0015207,Eventration,Anatomical Abnormality,A localized protrusion of a structure into an adjacent structure or cavity.
Dense,C0439794,Dense,Qualitative Concept,Having high relative density or specific gravity; permitting little if any light to pass through.
pectoral,C1521735,Pectoral,Qualitative Concept,Of or pertaining to the chest.
not well appreciated,,,,
discrepancy,C1290905,Discrepancy (finding),Finding,
6.6 cm above,,,,
greater than,C0439093,Greater Than,Quantitative Concept,A statement about the relative size or order of two objects specifying that an object of interest exceeds another object in quantity or measure or value or status.
Widespread,C0205391,Widespread,Spatial Concept,Spread throughout a structure or area.
improve,C0184511,Improved,Finding,Condition changed and/or recovered
deteriorated,C1457868,Worse,Finding,In an declined condition.
interim,C2827738,Interim,Temporal Concept,"The time between one event, process, or period and another."
entire,C0439751,Entire,Quantitative Concept,Including all components without exception; constituting the full amount or extent or duration; complete.
Pneumothorax,C0032326,Pneumothorax,Disease or Syndrome,Accumulation of air in the pleural cavity leading to a partially or completely collapsed lung. [https://orcid.org/0000-0002-0736-9199]
2.5 cm above,,,,
